Type,ID,last_checked,last_modified,last_vectorised,name,unique_name,unique_name,unique_name
artist,watts_george_frederic,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,george frederic watts,watts,watts,watts
definition,postmodernism,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,postmodern art,postmodern,postmodern,postmodern
artist,van_gogh_vincent,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,vincent van gogh,vincent gogh,vincent gogh,vincent gogh
artist,borromini,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,francesco borromini,borromini,borromini,borromini
movement,cobra_group,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,the cobra group,cobra,cobra,cobra
artist,buren_daniel,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,daniel buren,buren,buren,buren
artist,weston_edward,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,edward weston,weston,weston,weston
definition,society_of_the_spectacle,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,the society of the spectacle,society spectacle,society spectacle,society spectacle
definition,french_art,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,french art,french,french,french
artist,opie_catherine,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,catherine opie,catherine,catherine,catherine
movement,purism,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,purism,purism,purism,purism
artist,perez_elle,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,elle pérez,elle perez,elle perez,elle perez
artist,rublev_andrei,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,andrei rublev,andrei rublev,andrei rublev,andrei rublev
artist,longo_robert,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,robert longo,longo,longo,longo
movement,conceptual_art,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,conceptual art,conceptual,conceptual,conceptual
movement,venetian_school,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,the venetian school,venetian,venetian,venetian
artist,holbein_hans_the_younger,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,hans holbein the younger,holbein younger,holbein younger,holbein younger
artist,wojnarowicz_david,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,david wojnarowicz,wojnarowicz,wojnarowicz,wojnarowicz
movement,art_nouveau,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,art nouveau,,,
movement,die_brucke,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,die brücke,die brucke,die brucke,die brucke
artist,aguilar_laura,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,laura aguilar,aguilar,aguilar,aguilar
artist,cartier_bresson_henri,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,henri cartier-bresson,cartier-bresson,cartier-bresson,cartier-bresson
artist,giacometti_alberto,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,alberto giacometti,giacometti,giacometti,giacometti
artist,brecht_george,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,george brecht,brecht,brecht,brecht
artist,brassai,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,brassaï,brassai,brassai,brassai
